epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.84903,0.75804,0.32692,1,0.77726,6.668e-05,6.668e-05,6.668e-05
2,7.46471,0.67378,0.5,1,0.6834,0.000145079,0.000145079,0.000145079
3,10.6585,0.5325,0.84615,1,0.49667,0.000217977,0.000217977,0.000217977
4,13.9427,0.41139,0.94231,1,0.30172,0.000285374,0.000285374,0.000285374
5,17.1178,0.29457,0.96154,1,0.16271,0.000347269,0.000347269,0.000347269
6,20.7735,0.23482,0.98077,1,0.07968,0.000403664,0.000403664,0.000403664
7,24.4998,0.21484,1,1,0.04004,0.000454558,0.000454558,0.000454558
8,28.4328,0.14192,0.98077,1,0.03231,0.00049995,0.00049995,0.00049995
9,32.1901,0.14257,1,1,0.02601,0.000539841,0.000539841,0.000539841
10,35.7646,0.0835,1,1,0.02597,0.000574231,0.000574231,0.000574231
11,39.3984,0.05391,0.98077,1,0.0337,0.000603121,0.000603121,0.000603121
12,42.9905,0.08061,0.96154,1,0.04182,0.000626509,0.000626509,0.000626509
13,46.5128,0.06719,0.96154,1,0.06058,0.000644396,0.000644396,0.000644396
14,49.9989,0.05362,0.96154,1,0.06464,0.000656781,0.000656781,0.000656781
15,53.6792,0.03621,0.96154,1,0.0697,0.000663666,0.000663666,0.000663666
16,57.2578,0.07158,0.96154,1,0.06666,0.00066505,0.00066505,0.00066505
17,61.1819,0.04644,0.96154,1,0.06981,0.000660932,0.000660932,0.000660932
18,65.3157,0.05557,0.96154,1,0.06715,0.000651314,0.000651314,0.000651314
19,69.0583,0.04654,0.98077,1,0.0441,0.000636194,0.000636194,0.000636194
20,72.8687,0.04209,0.98077,1,0.05632,0.000615573,0.000615573,0.000615573
21,76.7993,0.11255,0.98077,1,0.04932,0.00056678,0.00056678,0.00056678
22,80.2848,0.06392,0.96154,1,0.03426,0.000511769,0.000511769,0.000511769
23,83.8771,0.05232,0.96154,1,0.03158,0.000456758,0.000456758,0.000456758
24,87.4304,0.0316,0.98077,1,0.03088,0.000401747,0.000401747,0.000401747
25,90.7847,0.06133,0.98077,1,0.03177,0.000346736,0.000346736,0.000346736
26,94.3613,0.04509,0.98077,1,0.03295,0.000291725,0.000291725,0.000291725
27,97.6748,0.01717,0.98077,1,0.03058,0.000236714,0.000236714,0.000236714
28,101.278,0.04325,0.98077,1,0.03414,0.000181703,0.000181703,0.000181703
29,104.875,0.07405,0.98077,1,0.03186,0.000126692,0.000126692,0.000126692
30,108.347,0.01752,1,1,0.03336,7.1681e-05,7.1681e-05,7.1681e-05
